"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"State"	"State Code"	"Year"	"Year Code"	Projected Populations
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2024"	"2024"	146295
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2025"	"2025"	147148
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2026"	"2026"	148076
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2027"	"2027"	149054
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2028"	"2028"	150086
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2029"	"2029"	151162
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2030"	"2030"	152260
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2004"	"2004"	24170
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2005"	"2005"	24708
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2006"	"2006"	25181
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2007"	"2007"	25778
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2008"	"2008"	26627
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2009"	"2009"	27429
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2010"	"2010"	28207
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2011"	"2011"	28945
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2012"	"2012"	29621
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2013"	"2013"	30218
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2014"	"2014"	30735
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2015"	"2015"	31159
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2016"	"2016"	31514
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2017"	"2017"	31797
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2018"	"2018"	32049
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2019"	"2019"	32258
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2020"	"2020"	32447
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2021"	"2021"	32630
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2022"	"2022"	32819
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2023"	"2023"	33043
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2024"	"2024"	33317
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2025"	"2025"	33670
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2026"	"2026"	34049
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2027"	"2027"	34486
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2028"	"2028"	34959
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2029"	"2029"	35457
	"0-4 years"	"0-4"	"Female"	"F"	"Alaska"	"02"	"2030"	"2030"	36024
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2004"	"2004"	214585
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2005"	"2005"	221993
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2006"	"2006"	227725
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2007"	"2007"	233678
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2008"	"2008"	239277
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2009"	"2009"	244953
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2010"	"2010"	250604
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2011"	"2011"	256278
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2012"	"2012"	261969
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2013"	"2013"	267631
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2014"	"2014"	273260
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2015"	"2015"	278840
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2016"	"2016"	284335
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2017"	"2017"	289769
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2018"	"2018"	295200
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2019"	"2019"	300654
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2020"	"2020"	306193
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2021"	"2021"	311849
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2022"	"2022"	317655
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2023"	"2023"	323615
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2024"	"2024"	329733
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2025"	"2025"	336032
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2026"	"2026"	342500
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2027"	"2027"	349119
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2028"	"2028"	355902
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2029"	"2029"	362864
	"0-4 years"	"0-4"	"Female"	"F"	"Arizona"	"04"	"2030"	"2030"	369980
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2004"	"2004"	92939
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2005"	"2005"	93890
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2006"	"2006"	94447
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2007"	"2007"	95002
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2008"	"2008"	94983
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2009"	"2009"	94983
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2010"	"2010"	94995
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2011"	"2011"	95075
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2012"	"2012"	95212
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2013"	"2013"	95423
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2014"	"2014"	95658
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2015"	"2015"	95974
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2016"	"2016"	96319
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2017"	"2017"	96729
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2018"	"2018"	97215
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2019"	"2019"	97776
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2020"	"2020"	98414
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2021"	"2021"	99164
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2022"	"2022"	99990
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2023"	"2023"	100883
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2024"	"2024"	101853
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2025"	"2025"	102879
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2026"	"2026"	103879
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2027"	"2027"	104836
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2028"	"2028"	105747
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2029"	"2029"	106607
	"0-4 years"	"0-4"	"Female"	"F"	"Arkansas"	"05"	"2030"	"2030"	107398
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2004"	"2004"	1269067
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2005"	"2005"	1296225
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2006"	"2006"	1313630
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2007"	"2007"	1332506
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2008"	"2008"	1353565
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2009"	"2009"	1374898
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2010"	"2010"	1396390
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2011"	"2011"	1417500
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2012"	"2012"	1438072
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2013"	"2013"	1457557
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2014"	"2014"	1475339
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2015"	"2015"	1490920
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2016"	"2016"	1504260
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2017"	"2017"	1515276
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2018"	"2018"	1523801
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2019"	"2019"	1530301
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2020"	"2020"	1534935
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2021"	"2021"	1538171
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2022"	"2022"	1540118
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2023"	"2023"	1541211
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2024"	"2024"	1541537
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2025"	"2025"	1541311
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2026"	"2026"	1540838
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2027"	"2027"	1540351
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2028"	"2028"	1540178
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2029"	"2029"	1540669
	"0-4 years"	"0-4"	"Female"	"F"	"California"	"06"	"2030"	"2030"	1542054
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2004"	"2004"	162884
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2005"	"2005"	165479
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2006"	"2006"	166417
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2007"	"2007"	167364
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2008"	"2008"	168672
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2009"	"2009"	170263
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2010"	"2010"	171889
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2011"	"2011"	173540
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2012"	"2012"	175214
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2013"	"2013"	176865
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2014"	"2014"	178499
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2015"	"2015"	180098
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2016"	"2016"	181725
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2017"	"2017"	183379
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2018"	"2018"	185094
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2019"	"2019"	186870
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2020"	"2020"	188691
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2021"	"2021"	190525
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2022"	"2022"	192384
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2023"	"2023"	194248
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2024"	"2024"	196097
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2025"	"2025"	197922
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2026"	"2026"	199761
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2027"	"2027"	201608
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2028"	"2028"	203478
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2029"	"2029"	205396
	"0-4 years"	"0-4"	"Female"	"F"	"Colorado"	"08"	"2030"	"2030"	207391
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2004"	"2004"	105921
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2005"	"2005"	105583
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2006"	"2006"	105230
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2007"	"2007"	105119
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2008"	"2008"	105358
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2009"	"2009"	105906
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2010"	"2010"	106680
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2011"	"2011"	107636
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2012"	"2012"	108706
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2013"	"2013"	109809
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2014"	"2014"	110871
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2015"	"2015"	111858
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2016"	"2016"	112726
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2017"	"2017"	113418
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2018"	"2018"	113949
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2019"	"2019"	114296
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2020"	"2020"	114432
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2021"	"2021"	114396
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2022"	"2022"	114183
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2023"	"2023"	113801
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2024"	"2024"	113276
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2025"	"2025"	112655
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2026"	"2026"	111929
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2027"	"2027"	111129
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2028"	"2028"	110299
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2029"	"2029"	109426
	"0-4 years"	"0-4"	"Female"	"F"	"Connecticut"	"09"	"2030"	"2030"	108542
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2004"	"2004"	26566
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2005"	"2005"	26855
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2006"	"2006"	26978
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2007"	"2007"	27199
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2008"	"2008"	27478
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2009"	"2009"	27786
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2010"	"2010"	28101
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2011"	"2011"	28389
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2012"	"2012"	28646
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2013"	"2013"	28856
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2014"	"2014"	29002
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2015"	"2015"	29096
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2016"	"2016"	29154
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2017"	"2017"	29175
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2018"	"2018"	29182
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2019"	"2019"	29172
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2020"	"2020"	29148
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2021"	"2021"	29131
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2022"	"2022"	29121
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2023"	"2023"	29112
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2024"	"2024"	29102
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2025"	"2025"	29091
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2026"	"2026"	29088
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2027"	"2027"	29103
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2028"	"2028"	29130
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2029"	"2029"	29177
	"0-4 years"	"0-4"	"Female"	"F"	"Delaware"	"10"	"2030"	"2030"	29238
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2004"	"2004"	17615
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2005"	"2005"	18754
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2006"	"2006"	19392
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2007"	"2007"	20012
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2008"	"2008"	20658
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2009"	"2009"	20519
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2010"	"2010"	20412
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2011"	"2011"	20321
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2012"	"2012"	20212
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2013"	"2013"	20050
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2014"	"2014"	19815
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2015"	"2015"	19492
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2016"	"2016"	19127
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2017"	"2017"	18712
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2018"	"2018"	18300
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2019"	"2019"	17915
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2020"	"2020"	17558
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2021"	"2021"	17268
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2022"	"2022"	17028
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2023"	"2023"	16837
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2024"	"2024"	16680
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2025"	"2025"	16544
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2026"	"2026"	16441
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2027"	"2027"	16355
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2028"	"2028"	16282
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2029"	"2029"	16231
	"0-4 years"	"0-4"	"Female"	"F"	"District of Columbia"	"11"	"2030"	"2030"	16187
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2004"	"2004"	519997
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2005"	"2005"	536474
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2006"	"2006"	546288
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2007"	"2007"	556490
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2008"	"2008"	565977
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2009"	"2009"	575838
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2010"	"2010"	585743
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2011"	"2011"	595706
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2012"	"2012"	605576
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2013"	"2013"	615184
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2014"	"2014"	624390
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2015"	"2015"	633177
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2016"	"2016"	641469
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2017"	"2017"	649443
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2018"	"2018"	657331
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2019"	"2019"	665376
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2020"	"2020"	673814
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2021"	"2021"	682828
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2022"	"2022"	692581
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2023"	"2023"	703153
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2024"	"2024"	714561
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2025"	"2025"	726817
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2026"	"2026"	739771
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2027"	"2027"	753371
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2028"	"2028"	767706
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2029"	"2029"	782820
	"0-4 years"	"0-4"	"Female"	"F"	"Florida"	"12"	"2030"	"2030"	798776
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2004"	"2004"	331234
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2005"	"2005"	338470
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2006"	"2006"	340775
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2007"	"2007"	343773
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2008"	"2008"	347348
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2009"	"2009"	351894
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2010"	"2010"	356601
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2011"	"2011"	361310
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2012"	"2012"	365922
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2013"	"2013"	370322
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2014"	"2014"	374464
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2015"	"2015"	378361
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2016"	"2016"	382212
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2017"	"2017"	386163
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2018"	"2018"	390369
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2019"	"2019"	394923
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2020"	"2020"	399896
	"0-4 years"	"0-4"	"Female"	"F"	"Georgia"	"13"	"2021"	"2021"	405210
