"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	"65-74 years"	"65-74"	413	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	"75-84 years"	"75-84"	493	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	"85+ years"	"85+"	641	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	"65-74 years"	"65-74"	402	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	"75-84 years"	"75-84"	513	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	"85+ years"	"85+"	648	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	"65-74 years"	"65-74"	380	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	"75-84 years"	"75-84"	497	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	"85+ years"	"85+"	626	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Oct., 2016"	"2016/10"	"65-74 years"	"65-74"	405	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Oct., 2016"	"2016/10"	"75-84 years"	"75-84"	503	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Oct., 2016"	"2016/10"	"85+ years"	"85+"	660	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	"65-74 years"	"65-74"	393	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	"75-84 years"	"75-84"	533	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	"85+ years"	"85+"	712	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Dec., 2016"	"2016/12"	"65-74 years"	"65-74"	429	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Dec., 2016"	"2016/12"	"75-84 years"	"75-84"	619	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Dec., 2016"	"2016/12"	"85+ years"	"85+"	804	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	"65-74 years"	"65-74"	446	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	"75-84 years"	"75-84"	578	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	"85+ years"	"85+"	807	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Feb., 2017"	"2017/02"	"65-74 years"	"65-74"	388	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Feb., 2017"	"2017/02"	"75-84 years"	"75-84"	525	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Feb., 2017"	"2017/02"	"85+ years"	"85+"	716	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Mar., 2017"	"2017/03"	"65-74 years"	"65-74"	427	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Mar., 2017"	"2017/03"	"75-84 years"	"75-84"	570	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Mar., 2017"	"2017/03"	"85+ years"	"85+"	769	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Apr., 2017"	"2017/04"	"65-74 years"	"65-74"	396	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Apr., 2017"	"2017/04"	"75-84 years"	"75-84"	546	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Apr., 2017"	"2017/04"	"85+ years"	"85+"	689	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"May, 2017"	"2017/05"	"65-74 years"	"65-74"	385	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"May, 2017"	"2017/05"	"75-84 years"	"75-84"	580	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"May, 2017"	"2017/05"	"85+ years"	"85+"	660	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	"65-74 years"	"65-74"	356	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	"75-84 years"	"75-84"	518	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	"85+ years"	"85+"	639	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jul., 2017"	"2017/07"	"65-74 years"	"65-74"	413	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jul., 2017"	"2017/07"	"75-84 years"	"75-84"	523	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jul., 2017"	"2017/07"	"85+ years"	"85+"	615	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	"65-74 years"	"65-74"	373	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	"75-84 years"	"75-84"	517	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	"85+ years"	"85+"	657	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	"65-74 years"	"65-74"	376	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	"75-84 years"	"75-84"	494	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	"85+ years"	"85+"	706	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Oct., 2017"	"2017/10"	"65-74 years"	"65-74"	427	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Oct., 2017"	"2017/10"	"75-84 years"	"75-84"	549	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Oct., 2017"	"2017/10"	"85+ years"	"85+"	666	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Nov., 2017"	"2017/11"	"65-74 years"	"65-74"	397	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Nov., 2017"	"2017/11"	"75-84 years"	"75-84"	538	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Nov., 2017"	"2017/11"	"85+ years"	"85+"	679	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Dec., 2017"	"2017/12"	"65-74 years"	"65-74"	439	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Dec., 2017"	"2017/12"	"75-84 years"	"75-84"	592	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Dec., 2017"	"2017/12"	"85+ years"	"85+"	824	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"65-74 years"	"65-74"	514	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"75-84 years"	"75-84"	743	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"85+ years"	"85+"	922	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"65-74 years"	"65-74"	437	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"75-84 years"	"75-84"	560	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"85+ years"	"85+"	704	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"65-74 years"	"65-74"	435	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"75-84 years"	"75-84"	590	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"85+ years"	"85+"	732	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"65-74 years"	"65-74"	388	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"75-84 years"	"75-84"	564	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"85+ years"	"85+"	693	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	"65-74 years"	"65-74"	436	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	"75-84 years"	"75-84"	544	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	"85+ years"	"85+"	651	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"65-74 years"	"65-74"	402	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"75-84 years"	"75-84"	484	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"85+ years"	"85+"	647	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jul., 2018"	"2018/07"	"65-74 years"	"65-74"	387	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jul., 2018"	"2018/07"	"75-84 years"	"75-84"	513	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jul., 2018"	"2018/07"	"85+ years"	"85+"	629	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Aug., 2018"	"2018/08"	"65-74 years"	"65-74"	370	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Aug., 2018"	"2018/08"	"75-84 years"	"75-84"	531	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Aug., 2018"	"2018/08"	"85+ years"	"85+"	628	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Sep., 2018"	"2018/09"	"65-74 years"	"65-74"	374	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Sep., 2018"	"2018/09"	"75-84 years"	"75-84"	489	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Sep., 2018"	"2018/09"	"85+ years"	"85+"	632	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"65-74 years"	"65-74"	389	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"75-84 years"	"75-84"	573	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"85+ years"	"85+"	678	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"65-74 years"	"65-74"	388	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"75-84 years"	"75-84"	546	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"85+ years"	"85+"	695	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"65-74 years"	"65-74"	450	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"75-84 years"	"75-84"	611	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"85+ years"	"85+"	766	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"65-74 years"	"65-74"	475	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"75-84 years"	"75-84"	602	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"85+ years"	"85+"	764	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"65-74 years"	"65-74"	426	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"75-84 years"	"75-84"	553	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"85+ years"	"85+"	713	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"65-74 years"	"65-74"	442	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"75-84 years"	"75-84"	657	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"85+ years"	"85+"	700	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"65-74 years"	"65-74"	417	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"75-84 years"	"75-84"	551	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"85+ years"	"85+"	642	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"May, 2019"	"2019/05"	"65-74 years"	"65-74"	428	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"May, 2019"	"2019/05"	"75-84 years"	"75-84"	530	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"May, 2019"	"2019/05"	"85+ years"	"85+"	687	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"65-74 years"	"65-74"	375	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"75-84 years"	"75-84"	547	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"85+ years"	"85+"	683	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"65-74 years"	"65-74"	423	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"75-84 years"	"75-84"	490	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"85+ years"	"85+"	671	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"65-74 years"	"65-74"	407	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"75-84 years"	"75-84"	541	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"85+ years"	"85+"	677	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"65-74 years"	"65-74"	379	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"75-84 years"	"75-84"	470	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"85+ years"	"85+"	672	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"65-74 years"	"65-74"	419	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"75-84 years"	"75-84"	533	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"85+ years"	"85+"	644	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"65-74 years"	"65-74"	435	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"75-84 years"	"75-84"	567	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"85+ years"	"85+"	671	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"65-74 years"	"65-74"	445	Not Applicable	Not Applicable
