"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Oct., 2017"	"2017/10"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Nov., 2017"	"2017/11"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Dec., 2017"	"2017/12"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Jan., 2017"	"2017/01"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Feb., 2017"	"2017/02"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Mar., 2017"	"2017/03"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Apr., 2017"	"2017/04"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"May, 2017"	"2017/05"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Jun., 2017"	"2017/06"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Jul., 2017"	"2017/07"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Aug., 2017"	"2017/08"	74	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Sep., 2017"	"2017/09"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Oct., 2017"	"2017/10"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Nov., 2017"	"2017/11"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"Dec., 2017"	"2017/12"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Jan., 2017"	"2017/01"	193	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Feb., 2017"	"2017/02"	173	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Mar., 2017"	"2017/03"	213	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Apr., 2017"	"2017/04"	193	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"May, 2017"	"2017/05"	168	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Jun., 2017"	"2017/06"	166	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Jul., 2017"	"2017/07"	172	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Aug., 2017"	"2017/08"	189	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Sep., 2017"	"2017/09"	158	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Oct., 2017"	"2017/10"	167	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Nov., 2017"	"2017/11"	192	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"Dec., 2017"	"2017/12"	191	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Jan., 2017"	"2017/01"	472	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Feb., 2017"	"2017/02"	389	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Mar., 2017"	"2017/03"	424	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Apr., 2017"	"2017/04"	393	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"May, 2017"	"2017/05"	403	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Jun., 2017"	"2017/06"	405	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Jul., 2017"	"2017/07"	394	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Aug., 2017"	"2017/08"	390	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Sep., 2017"	"2017/09"	407	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Oct., 2017"	"2017/10"	391	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Nov., 2017"	"2017/11"	423	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"Dec., 2017"	"2017/12"	471	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Jan., 2017"	"2017/01"	581	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Feb., 2017"	"2017/02"	503	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Mar., 2017"	"2017/03"	557	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Apr., 2017"	"2017/04"	519	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"May, 2017"	"2017/05"	539	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Jun., 2017"	"2017/06"	514	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Jul., 2017"	"2017/07"	513	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Aug., 2017"	"2017/08"	507	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Sep., 2017"	"2017/09"	553	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Oct., 2017"	"2017/10"	494	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Nov., 2017"	"2017/11"	540	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"Dec., 2017"	"2017/12"	565	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Jan., 2017"	"2017/01"	588	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Feb., 2017"	"2017/02"	553	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Mar., 2017"	"2017/03"	575	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Apr., 2017"	"2017/04"	522	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"May, 2017"	"2017/05"	539	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Jun., 2017"	"2017/06"	489	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Jul., 2017"	"2017/07"	498	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Aug., 2017"	"2017/08"	511	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Sep., 2017"	"2017/09"	504	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Oct., 2017"	"2017/10"	542	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Nov., 2017"	"2017/11"	576	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"Dec., 2017"	"2017/12"	611	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"85+ years"	"85+"	"Jan., 2017"	"2017/01"	431	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"85+ years"	"85+"	"Feb., 2017"	"2017/02"	379	Not Applicable	Not Applicable
